상태,날짜,분류,공지 제목,저장 파일명 (images/notice/),원본 URL,원본 크기(KB),저장 크기(KB),해상도
복사됨,2019-03-05,event,"2019년 2월 학위수여식 - 이인걸, 서성열, 이동수 졸업","2019년_2월_학위수여식_-_이인걸,_서성열,_이동수_졸업.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/03/2019%EB%85%84_2%EC%9B%94_%ED%95%99%EC%9C%84%EC%88%98%EC%97%AC%EC%8B%9D.jpg,213,183,960x720
복사됨,2019-06-04,event,2019년 5월 18일 체육대회를 성공적으로 마쳤습니다.,2019년_5월_18일_체육대회를_성공적으로_마쳤습니다.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/06/2019%EB%85%84_%EC%B2%B4%EC%9C%A1%EB%8C%80%ED%9A%8C.jpg,567,266,1440x1081
복사됨,2019-06-28,event,2019년도 MT를 성공적으로 마쳤습니다.,2019년도_MT를_성공적으로_마쳤습니다.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/06/2019%EB%85%84_MT.jpg,733,378,1440x1019
복사됨,2019-11-07,award,2019년 SK하이닉스 반도체 혁신 아이디어 공모전 최우수상 수상,2019년_SK하이닉스_반도체_혁신_아이디어_공모전_최우수상_수상_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/SK-%EC%8B%9C%EC%83%81%EC%8B%9D.jpg,335,170,1280x743
복사됨,2019-11-07,award,2019년 SK하이닉스 반도체 혁신 아이디어 공모전 최우수상 수상,2019년_SK하이닉스_반도체_혁신_아이디어_공모전_최우수상_수상_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/%EB%B0%98%EB%8F%84%EC%B2%B4%ED%98%81%EC%8B%A0%EC%95%84%EC%9D%B4%EB%94%94%EC%96%B4%EA%B3%B5%EB%AA%A8%EC%A0%842.jpg,4874,267,1600x1067
복사됨,2019-11-07,award,2019년 SK하이닉스 반도체 혁신 아이디어 공모전 최우수상 수상,2019년_SK하이닉스_반도체_혁신_아이디어_공모전_최우수상_수상_3.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/%EB%B0%98%EB%8F%84%EC%B2%B4%ED%98%81%EC%8B%A0%EC%95%84%EC%9D%B4%EB%94%94%EC%96%B4%EA%B3%B5%EB%AA%A8%EC%A0%84.jpg,5433,259,1600x1067
복사됨,2019-11-07,event,2019년 10월 30일 EE-Festival을 성공적으로 마쳤습니다.,2019년_10월_30일_EE-Festival을_성공적으로_마쳤습니다_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/%EB%A7%88%EB%9D%BC%ED%86%A4.jpg,126,118,937x960
복사됨,2019-11-07,event,2019년 10월 30일 EE-Festival을 성공적으로 마쳤습니다.,2019년_10월_30일_EE-Festival을_성공적으로_마쳤습니다_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/2-e1573093951459.jpg,6424,366,1200x1600
복사됨,2019-11-07,event,2019년 10월 30일 EE-Festival을 성공적으로 마쳤습니다.,2019년_10월_30일_EE-Festival을_성공적으로_마쳤습니다_3.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/%EB%A7%88%EB%9D%BC%ED%86%A41.jpg,2039,326,1600x1200
복사됨,2019-11-07,event,2019 Test Technology Workshop,2019_Test_Technology_Workshop_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/DSCF5131.jpg,4023,242,1600x1067
복사됨,2019-11-07,event,2019 Test Technology Workshop,2019_Test_Technology_Workshop_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/DSCF5113.jpg,4268,208,1600x1067
복사됨,2019-11-29,event,2019년도 송년 워크샵이 잘 마무리 되었습니다.,2019년도_송년_워크샵이_잘_마무리_되었습니다_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/%EC%86%A1%EB%85%84%ED%9A%8C2.jpg,3815,437,1600x1200
복사됨,2019-11-29,event,2019년도 송년 워크샵이 잘 마무리 되었습니다.,2019년도_송년_워크샵이_잘_마무리_되었습니다_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2019/11/%EC%86%A1%EB%85%84%ED%9A%8C.jpg,4188,487,1600x1200
복사됨,2020-03-17,event,"2020년 2월 학위수여식 - 이영우, 오형교 졸업","2020년_2월_학위수여식_-_이영우,_오형교_졸업.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2020/03/%EC%A1%B8%EC%97%85%EC%8B%9D.jpg,3699,445,1600x1200
복사됨,2020-09-02,notice,2020년 2학기 전기 전자 종합 설계 주제 안내,2020년_2학기_전기_전자_종합_설계_주제_안내.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2020/09/ECC.jpg,29,17,448x214
복사됨,2021-01-04,event,2020년도 송년회가 잘 마무리 되었습니다.,2020년도_송년회가_잘_마무리_되었습니다.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2021/02/KakaoTalk_20210223_174129886.png,2191,148,1448x839
복사됨,2021-02-24,notice,2021년 1학기 전기 전자 종합 설계 주제 안내,2021년_1학기_전기_전자_종합_설계_주제_안내.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2021/02/21%EB%85%841%ED%95%99%EA%B8%B0%EC%A2%85%ED%95%A9%EC%84%A4%EA%B3%84%EC%A3%BC%EC%A0%9C%EA%B7%B8%EB%A6%BC1.png,61,75,345x258
복사됨,2021-06-24,award,자동차 시스템 반도체 융합 전문 인력 육성 사업 선정,자동차_시스템_반도체_융합_전문_인력_육성_사업_선정.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2021/06/%EC%9E%90%EB%8F%99%EC%B0%A8%EC%8B%9C%EC%8A%A4%ED%85%9C%EB%B0%98%EB%8F%84%EC%B2%B4.png,226,257,601x538
복사됨,2021-08-06,notice,2021년 2학기 전기 전자 종합 설계 주제 안내,2021년_2학기_전기_전자_종합_설계_주제_안내.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2021/08/TSV%EC%88%98%EB%A6%AC%ED%9A%8C%EB%A1%9C%EA%B5%AC%EC%A1%B0%EC%98%88%EC%8B%9C1.png,73,82,705x357
복사됨,2021-12-24,event,2021년도 송년회가 잘 마무리 되었습니다.,2021년도_송년회가_잘_마무리_되었습니다_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/01/2021%EC%86%A1%EB%85%84%ED%9A%8C%EC%82%AC%EC%A7%841.png,1257,135,1195x710
복사됨,2021-12-24,event,2021년도 송년회가 잘 마무리 되었습니다.,2021년도_송년회가_잘_마무리_되었습니다_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/01/2021%EC%86%A1%EB%85%84%ED%9A%8C%EC%82%AC%EC%A7%8421.png,1211,136,1167x703
복사됨,2022-02-23,notice,2022년 1학기 전기 전자 종합 설계 주제 안내,2022년_1학기_전기_전자_종합_설계_주제_안내.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/03/LBIST.png,21,25,401x302
복사됨,2022-02-28,event,"2022년 2월 학위수여식 - 김지혜, 이권형, 우형일, 김호경 졸업","2022년_2월_학위수여식_-_김지혜,_이권형,_우형일,_김호경_졸업_1.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/03/%EC%A1%B8%EC%97%85_%EC%9A%B0%ED%98%95%EC%9D%BC.jpg,3683,435,1600x1200
복사됨,2022-02-28,event,"2022년 2월 학위수여식 - 김지혜, 이권형, 우형일, 김호경 졸업","2022년_2월_학위수여식_-_김지혜,_이권형,_우형일,_김호경_졸업_2.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/03/%EC%A1%B8%EC%97%85_%EA%B9%80%EC%A7%80%ED%98%9C_%EA%B9%80%ED%98%B8%EA%B2%BD.jpg,3664,420,1600x1200
복사됨,2022-08-09,notice,2022년 2학기 전기 전자 종합 설계 주제 안내,2022년_2학기_전기_전자_종합_설계_주제_안내.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/08/2022-2%EC%A2%85%EC%84%A4.jpg,89,69,987x900
복사됨,2022-08-28,event,"2022년 8월 학위수여식 - 이용, 김경빈, 이인환 졸업","2022년_8월_학위수여식_-_이용,_김경빈,_이인환_졸업_1.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/08/%ED%95%99%EC%9C%84%EC%88%98%EC%97%AC_1.jpg,5565,487,1600x1200
복사됨,2022-08-28,event,"2022년 8월 학위수여식 - 이용, 김경빈, 이인환 졸업","2022년_8월_학위수여식_-_이용,_김경빈,_이인환_졸업_2.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/08/%ED%95%99%EC%9C%84%EC%88%98%EC%97%AC_2.jpg,5479,485,1600x1200
복사됨,2022-11-28,event,2022년도 송년회가 잘 마무리 되었습니다.,2022년도_송년회가_잘_마무리_되었습니다_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/11/%EC%86%A1%EB%85%84%ED%9A%8C2.jpg,437,195,1440x1080
복사됨,2022-11-28,event,2022년도 송년회가 잘 마무리 되었습니다.,2022년도_송년회가_잘_마무리_되었습니다_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2022/11/%EC%86%A1%EB%85%84%ED%9A%8C1.jpg,447,202,1440x1080
복사됨,2023-08-25,event,"2023년 8월 학위수여식 - 이하영, 정민호, 박성환 졸업","2023년_8월_학위수여식_-_이하영,_정민호,_박성환_졸업.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2023/08/0825%EC%A1%B8%EC%97%85.jpg,4891,564,1600x1200
복사됨,2023-12-27,notice,2024년 1학기 전기 전자 종합 설계 주제 안내,2024년_1학기_전기_전자_종합_설계_주제_안내_1.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2023/12/Memory-BIRA-%EA%B5%AC%EC%A1%B0.png,16,14,829x357
복사됨,2023-12-27,notice,2024년 1학기 전기 전자 종합 설계 주제 안내,2024년_1학기_전기_전자_종합_설계_주제_안내_2.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2023/12/Systolic-array-%EB%B0%8F-BISR-%EA%B5%AC%EC%A1%B0.png,33,29,682x634
복사됨,2023-12-27,notice,2024년 1학기 전기 전자 종합 설계 주제 안내,2024년_1학기_전기_전자_종합_설계_주제_안내_3.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2023/12/DFT%EA%B0%80-%EC%A0%81%EC%9A%A9%EB%90%9C-systolic-array-%EA%B5%AC%EC%A1%B0.png,25,22,690x467
복사됨,2024-06-05,notice,2024년 2학기 전기전자 종합설계 주제 안내,2024년_2학기_전기전자_종합설계_주제_안내.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2024/06/KakaoTalk_20240605_151356138.png,47,49,1280x620
복사됨,2024-08-30,event,"2024년 8월 학위수여식 - 김태현, 임현찬, 김혜민 졸업","2024년_8월_학위수여식_-_김태현,_임현찬,_김혜민_졸업.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2024/08/202408.jpg,783,354,1600x1067
복사됨,2024-11-13,notice,2025년 1학기 전기전자 종합설계 주제 안내,2025년_1학기_전기전자_종합설계_주제_안내.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2024/11/%ED%85%8C%EC%8A%A4%ED%8A%B8-%EB%B2%A1%ED%84%B0-%EC%95%95%EC%B6%95.png,52,47,723x372
복사됨,2025-02-24,event,"2025년 2월 학위수여식 - 이영광, 장석준, 윤준식, 정재영 졸업","2025년_2월_학위수여식_-_이영광,_장석준,_윤준식,_정재영_졸업.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/02/DSCF0566.jpg,2788,343,1600x1067
복사됨,2025-06-27,notice,2025년 2학기 전기전자 종합설계 주제 안내,2025년_2학기_전기전자_종합설계_주제_안내.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/06/KakaoTalk_20250627_144137905.png,30,33,808x354
복사됨,2025-08-27,event,2025년도 MT를 성공적으로 마쳤습니다.,2025년도_MT를_성공적으로_마쳤습니다_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/08/A.jpg,1234,221,1600x1067
복사됨,2025-08-27,event,2025년도 MT를 성공적으로 마쳤습니다.,2025년도_MT를_성공적으로_마쳤습니다_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/08/B.jpg,1288,213,1600x1067
복사됨,2025-08-27,event,2025년도 MT를 성공적으로 마쳤습니다.,2025년도_MT를_성공적으로_마쳤습니다_3.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/08/C.jpg,1032,205,1600x1067
복사됨,2025-09-02,event,"2025년 8월 학위수여식 - 김희태, 한동현, 이상준, 정화영 졸업","2025년_8월_학위수여식_-_김희태,_한동현,_이상준,_정화영_졸업_1.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/09/KakaoTalk_20250831_163042863.jpg,2956,338,1600x1067
복사됨,2025-09-02,event,"2025년 8월 학위수여식 - 김희태, 한동현, 이상준, 정화영 졸업","2025년_8월_학위수여식_-_김희태,_한동현,_이상준,_정화영_졸업_2.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/09/KakaoTalk_20250831_163042863_01.jpg,2830,365,1600x1067
복사됨,2025-10-29,event,2025 테스트 기술 워크샵 성료,2025_테스트_기술_워크샵_성료_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/10/KakaoTalk_20251028_201847478_02.jpg,3859,359,1600x1200
복사됨,2025-10-29,event,2025 테스트 기술 워크샵 성료,2025_테스트_기술_워크샵_성료_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/10/KakaoTalk_20251028_201847478.jpg,3889,362,1600x1200
복사됨,2025-11-11,notice,2026년 1학기 전기전자 종합설계 주제 안내,2026년_1학기_전기전자_종합설계_주제_안내.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2025/11/%EA%B7%B8%EB%A6%BC1.png,84,110,1600x721
복사됨,2026-02-23,event,"2026년 2월 학위수여식 - 김병수, 정래상, 조한성 졸업","2026년_2월_학위수여식_-_김병수,_정래상,_조한성_졸업_1.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2026/02/KakaoTalk_20260223_135944189_15a.jpg,5957,453,1600x1200
복사됨,2026-02-23,event,"2026년 2월 학위수여식 - 김병수, 정래상, 조한성 졸업","2026년_2월_학위수여식_-_김병수,_정래상,_조한성_졸업_2.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2026/02/KakaoTalk_20260223_135944189_25c.jpg,6090,461,1600x1200
복사됨,2026-02-23,event,"2026년 2월 학위수여식 - 김병수, 정래상, 조한성 졸업","2026년_2월_학위수여식_-_김병수,_정래상,_조한성_졸업_3.jpg",http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2026/02/KakaoTalk_20260223_135944189_26d.jpg,6152,466,1600x1200
복사됨,2026-03-09,event,2026년 3월 8일 부천국제 10km 로드레이스를 성공적으로 마쳤습니다.,2026년_3월_8일_부천국제_10km_로드레이스를_성공적으로_마쳤습니다_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2026/03/KakaoTalk_20260308_113651873_01.jpg,5559,412,1600x1200
복사됨,2026-03-09,event,2026년 3월 8일 부천국제 10km 로드레이스를 성공적으로 마쳤습니다.,2026년_3월_8일_부천국제_10km_로드레이스를_성공적으로_마쳤습니다_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2026/03/KakaoTalk_20260308_113651873_02.jpg,5427,401,1600x1200
복사됨,2026-05-26,event,2026년 5월 23일 안산 자락길 산책을 성공적으로 마쳤습니다.,2026년_5월_23일_안산_자락길_산책을_성공적으로_마쳤습니다.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2026/05/KakaoTalk_20260526_094444861_01.jpg,7782,578,1600x1200
복사됨,2026-06-04,notice,2026년 2학기 전기전자 종합설계 주제 안내,2026년_2학기_전기전자_종합설계_주제_안내.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2026/06/26-2-%EC%A0%84%EA%B8%B0%EC%A0%84%EC%9E%90-%EC%A2%85%ED%95%A9%EC%84%A4%EA%B3%84.png,256,154,1600x927
백업에 없음,2014-09-02,notice,[2012년도 2학기] 졸업을 축하합니다.,,http://web.yonsei.ac.kr//soc/board/1/IMG_75370.JPG,,,
백업에 없음,2014-09-02,notice,2012년 Altera joint Lab. 사진,,http://165.132.10.17//soc/board/1/%EC%97%B0%EC%84%B8%EB%8C%80-group_resizing.JPG,,,
백업에 없음,2014-09-02,award,2010년 12월 이달의 과학기술자상 수상 - 강성호 교수님,,http://165.132.10.17//soc/board/1/1%20%EC%A0%84%EC%B2%B4%EC%82%AC%EC%A7%84.jpg,,,
백업에 없음,2014-09-02,award,2010년 12월 이달의 과학기술자상 수상 - 강성호 교수님,,http://165.132.10.17//soc/board/1/2%20%EC%88%98%EC%83%81%EC%9E%A5%EB%A9%B4.jpg,,,
백업에 없음,2014-09-04,event,2014년 5월 24일 체육대회를 성공적으로 마쳤습니다.,,http://web.yonsei.ac.kr//soc/board/1/1KakaoTalk_20140524_180225448.jpg,,,
백업에 없음,2014-09-04,event,2013년도 송년회가 잘 마무리 되었습니다.,,http://web.yonsei.ac.kr//soc/board/1/%EC%86%A1%EB%85%84%ED%9A%8C%EC%82%AC%EC%A7%841.JPG,,,
백업에 없음,2014-09-04,event,2013년도 송년회가 잘 마무리 되었습니다.,,http://web.yonsei.ac.kr//soc/board/1/%EC%86%A1%EB%85%84%ED%9A%8C%EC%82%AC%EC%A7%842.JPG,,,
백업에 없음,2014-09-04,event,2013년도 송년회가 잘 마무리 되었습니다.,,http://web.yonsei.ac.kr//soc/board/1/%EC%86%A1%EB%85%84%ED%9A%8C%EC%82%AC%EC%A7%843.jpg,,,
백업에 없음,2014-09-04,event,2013년 10월 1일 3D IC 테스트 기술 워크샵 결과,,http://web.yonsei.ac.kr//soc/board/1/IMG_5244.jpg,,,
백업에 없음,2014-09-04,event,2013년 10월 1일 3D IC 테스트 기술 워크샵 결과,,http://web.yonsei.ac.kr//soc/board/1/IMG_5257.jpg,,,
백업에 없음,2014-09-04,event,2013년 10월 1일 3D IC 테스트 기술 워크샵 결과,,http://web.yonsei.ac.kr//soc/board/1/IMG_5296.jpg,,,
백업에 없음,2014-09-04,notice,2013년 연구실 환경개선,,http://web.yonsei.ac.kr//soc/board/1/before01.jpg,,,
백업에 없음,2014-09-04,notice,2013년 연구실 환경개선,,http://web.yonsei.ac.kr//soc/board/1/before02.jpg,,,
백업에 없음,2014-09-04,notice,2013년 연구실 환경개선,,http://web.yonsei.ac.kr//soc/board/1/ing01.jpg,,,
백업에 없음,2014-09-04,notice,2013년 연구실 환경개선,,http://web.yonsei.ac.kr//soc/board/1/ing02.jpg,,,
백업에 없음,2014-09-04,notice,2013년 연구실 환경개선,,http://web.yonsei.ac.kr//soc/board/1/after01.jpg,,,
백업에 없음,2014-09-04,notice,2013년 연구실 환경개선,,http://web.yonsei.ac.kr//soc/board/1/after02.jpg,,,
백업에 없음,2014-09-12,event,[2014년도 2학기] 20주년 기념식이 무사히 마무리 되었습니다.,,http://soc.yonsei.ac.kr/phic/20year_00.jpg,,,
백업에 없음,2014-09-12,event,[2014년도 2학기] 20주년 기념식이 무사히 마무리 되었습니다.,,http://soc.yonsei.ac.kr/phic/20year_01.jpg,,,
백업에 없음,2014-09-12,event,[2014년도 2학기] 20주년 기념식이 무사히 마무리 되었습니다.,,http://soc.yonsei.ac.kr/phic/20year_02.jpg,,,
백업에 없음,2014-09-12,event,[2014년도 2학기] 20주년 기념식이 무사히 마무리 되었습니다.,,http://soc.yonsei.ac.kr/phic/20year_03.jpg,,,
백업에 없음,2014-09-13,notice,인터넷익스플로러 호환성 문제 해결방법,,http://cfile21.uf.tistory.com/image/2366675052C105DF2A166C,,,
백업에 없음,2014-09-13,notice,인터넷익스플로러 호환성 문제 해결방법,,http://cfile21.uf.tistory.com/image/2366675052C105DF2A166C,,,
